algorithm,instance,samples,success,failed,best,mean,worst,std,mean_runtime,mean_evaluations
Multi-start,n20_seed42,5,5,0,260,260,260,0.0,14.045026060007512,59794
SPT+SA,n20_seed42,5,5,0,271,289.6,310,14.808781178746615,0.09928880003280938,361
