run_id,instance,input_sha256,group,method,seed,objective_name,time_limit,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,validation,failure_reason,reference_type,reference,gap_to_reference
single_12__main__heur_lpt__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,main,heur_lpt,0,total_tardiness,10.0,FEASIBLE,719.0,,,,0.0,0.000149,0.000149,,,proven_by_solver,532.0,0.35150375939849626
single_12__tl_3__milp_tight__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,tl_3,milp_tight,0,total_tardiness,3.0,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,291,0.004575,3.016957,3.021532,,,proven_by_solver,532.0,0.020676691729323307
single_12__tl_30__milp_tight__0,single_12,53359129ce8699cf7e186e58baff0d6f221ac4debb21e04dfc4f1c7c7247696b,tl_30,milp_tight,0,total_tardiness,30.0,FEASIBLE,543.0,55.173482118510044,0.8983913773139778,404653,0.007502,30.655454,30.662956,,,proven_by_solver,532.0,0.020676691729323307
single_20__main__milp_tight__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_tight,0,total_tardiness,10.0,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,817,0.01558,10.031929,10.047508,,,proven_by_solver,903.0,0.07198228128460686
single_20__main__milp_loose__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_loose,0,total_tardiness,10.0,FEASIBLE,1089.0,67.05605123904724,0.9384241953727757,1139,0.01488,10.026804,10.041685,,,proven_by_solver,903.0,0.2059800664451827
single_20__main__milp_alt__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_alt,0,total_tardiness,10.0,OPTIMAL,903.0,903.0,0.0,0,0.128659,0.546355,0.675013,,,proven_by_solver,903.0,0.0
single_20__main__milp_warmstart__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_warmstart,0,total_tardiness,10.0,OPTIMAL,903.0,903.0,0.0,0,0.015803,0.035957,0.05176,,,proven_by_solver,903.0,0.0
single_20__main__milp_fixing__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,milp_fixing,0,total_tardiness,10.0,OPTIMAL,903.0,903.0,0.0,0,0.015038,0.008181,0.023219,,,proven_by_solver,903.0,0.0
single_20__main__heur_spt__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,heur_spt,0,total_tardiness,10.0,FEASIBLE,903.0,,,,0.0,0.000149,0.000149,,,proven_by_solver,903.0,0.0
single_20__main__heur_edd__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,heur_edd,0,total_tardiness,10.0,FEASIBLE,922.0,,,,0.0,0.000158,0.000158,,,proven_by_solver,903.0,0.021040974529346623
single_20__main__heur_wspt__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,heur_wspt,0,total_tardiness,10.0,FEASIBLE,1003.0,,,,0.0,0.000335,0.000335,,,proven_by_solver,903.0,0.11074197120708748
single_20__main__heur_lpt__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,main,heur_lpt,0,total_tardiness,10.0,FEASIBLE,2094.0,,,,0.0,0.000151,0.000151,,,proven_by_solver,903.0,1.318936877076412
single_20__tl_3__milp_tight__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,tl_3,milp_tight,0,total_tardiness,3.0,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,31,0.011877,3.027634,3.039511,,,proven_by_solver,903.0,0.07198228128460686
single_20__tl_30__milp_tight__0,single_20,287165fd0507f3f243024a3e94e381b79551deef588c892d6a26532ac66e944f,tl_30,milp_tight,0,total_tardiness,30.0,FEASIBLE,968.0,65.50927046336038,0.9323251338188425,3794,0.012418,30.035954,30.048372,,,proven_by_solver,903.0,0.07198228128460686
