run_id,instance,input_sha256,group,method,objective_name,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,cmax,total_tardiness,setup,validation,failure_reason,reference_type,reference,gap_to_reference
fjsp_6x4_f2__main__fjsp_random__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,main,fjsp_random,makespan,FEASIBLE,87.0,,,,8.5e-05,0.000603,0.000688,87.0,104.0,0.0,,,proven_by_solver,42.0,1.0714285714285714
fjsp_6x4_f2__main__fjsp_shortest__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,main,fjsp_shortest,makespan,FEASIBLE,67.0,,,,3.3e-05,0.00057,0.000603,67.0,47.0,0.0,,,proven_by_solver,42.0,0.5952380952380952
fjsp_6x4_f2__main__fjsp_loadbalance__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,main,fjsp_loadbalance,makespan,FEASIBLE,61.0,,,,8.5e-05,0.000545,0.00063,61.0,34.0,0.0,,,proven_by_solver,42.0,0.4523809523809524
fjsp_6x4_f2__main__fjsp_cpsat__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,main,fjsp_cpsat,makespan,OPTIMAL,42.0,42.0,0.0,622,0.003074,0.035121,0.038195,42.0,13.0,0.0,,,proven_by_solver,42.0,0.0
fjsp_6x4_f2__tl_5__fjsp_cpsat__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,tl_5,fjsp_cpsat,makespan,OPTIMAL,42.0,42.0,0.0,622,0.002345,0.03435,0.036695,42.0,13.0,0.0,,,proven_by_solver,42.0,0.0
fjsp_6x4_f2__tl_30__fjsp_cpsat__0,fjsp_6x4_f2,1a38248dccd21100448e11b806c6b1a2161d7a76e731c66640d41614be272abb,tl_30,fjsp_cpsat,makespan,OPTIMAL,42.0,42.0,0.0,622,0.002262,0.031862,0.034124,42.0,13.0,0.0,,,proven_by_solver,42.0,0.0
fjsp_10x5_f3__main__fjsp_random__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,main,fjsp_random,makespan,FEASIBLE,115.0,,,,0.000212,0.001248,0.001459,115.0,206.0,0.0,,,proven_by_solver,56.0,1.0535714285714286
fjsp_10x5_f3__main__fjsp_shortest__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,main,fjsp_shortest,makespan,FEASIBLE,111.0,,,,4.9e-05,0.000909,0.000958,111.0,181.0,0.0,,,proven_by_solver,56.0,0.9821428571428571
fjsp_10x5_f3__main__fjsp_loadbalance__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,main,fjsp_loadbalance,makespan,FEASIBLE,90.0,,,,0.000127,0.000935,0.001061,90.0,121.0,0.0,,,proven_by_solver,56.0,0.6071428571428571
fjsp_10x5_f3__main__fjsp_cpsat__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,main,fjsp_cpsat,makespan,OPTIMAL,56.0,56.0,0.0,21259,0.00369,4.128137,4.131827,56.0,126.0,0.0,,,proven_by_solver,56.0,0.0
fjsp_10x5_f3__tl_5__fjsp_cpsat__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,tl_5,fjsp_cpsat,makespan,OPTIMAL,56.0,56.0,0.0,21259,0.004142,4.790231,4.794374,56.0,126.0,0.0,,,proven_by_solver,56.0,0.0
fjsp_10x5_f3__tl_30__fjsp_cpsat__0,fjsp_10x5_f3,45432b212f6b93de5a3baecde2e91e29ddf59b4831d5ef7a5de2d4a6479ae160,tl_30,fjsp_cpsat,makespan,OPTIMAL,56.0,56.0,0.0,21259,0.004337,4.336673,4.34101,56.0,126.0,0.0,,,proven_by_solver,56.0,0.0
ind_setup__main__fjsp_cpsat_setup__0,ind_setup,59ca63d6fea89318b43b837917da27a25eb941140e8353834a4ca0c755a76736,main,fjsp_cpsat_setup,weighted_sum,FEASIBLE,61.0,,,170332,0.023036,15.006211,15.029247,61.0,121.0,16.0,,,best-known,61.0,0.0
ind_setup__main__fjsp_cpsat_multiobj__0,ind_setup,59ca63d6fea89318b43b837917da27a25eb941140e8353834a4ca0c755a76736,main,fjsp_cpsat_multiobj,weighted_sum,FEASIBLE,61.0,,,171398,0.023505,14.321028,14.344532,61.0,121.0,16.0,,,best-known,61.0,0.0
ind_calendar__main__fjsp_cpsat_calendar__0,ind_calendar,e55ff45c217db5c5170df44f81b655b23dd6b479126192f3afb8eb6611044d78,main,fjsp_cpsat_calendar,makespan,OPTIMAL,79.0,79.0,0.0,1617,0.008082,0.133625,0.141707,79.0,234.0,0.0,,,proven_by_solver,79.0,0.0
ind_worker__main__fjsp_cpsat_full__0,ind_worker,da33697c3832f4f8177ef31e223c792654976c7c06e820998c2863f1dca37f73,main,fjsp_cpsat_full,makespan,FEASIBLE,97.0,41.0,0.5773195876288659,147984,0.016156,15.004627,15.020783,97.0,187.0,40.0,,,best-known,97.0,0.0
ind_qualified__main__fjsp_cpsat_qualified__0,ind_qualified,baaeae6779332c27472c4032ccf95c05fcbfe9fb83cef05f81199935fb14ad16,main,fjsp_cpsat_qualified,weighted_sum,FEASIBLE,75.0,36.0,0.52,107719,0.0205,15.003424,15.023924,75.0,187.0,19.0,,,best-known,75.0,0.0
ind_qualified__main__fjsp_cpsat_full__0,ind_qualified,baaeae6779332c27472c4032ccf95c05fcbfe9fb83cef05f81199935fb14ad16,main,fjsp_cpsat_full,weighted_sum,FEASIBLE,78.0,34.0,0.5641025641025641,270520,0.043409,15.016724,15.060133,78.0,190.0,17.0,,,best-known,75.0,0.04
