machine_id,job_id,operation_id,start_time,end_time,duration
M0,J000,J000_O0,0,5,5
M0,J001,J001_O0,5,18,13
M0,J004,J004_O0,18,29,11
M0,J002,J002_O0,29,33,4
M0,J003,J003_O0,33,48,15
M1,J000,J000_O1,5,20,15
M1,J001,J001_O1,20,32,12
M1,J004,J004_O1,32,40,8
M1,J002,J002_O1,40,58,18
M1,J003,J003_O1,58,67,9
M2,J000,J000_O2,20,35,15
M2,J001,J001_O2,35,49,14
M2,J004,J004_O2,49,59,10
M2,J002,J002_O2,59,63,4
M2,J003,J003_O2,67,69,2
