run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_single__sa_t10.0_c0.9__sa__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,0,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.01033580000512302,optimum,36.0,0.0,
tiny_single__sa_t10.0_c0.9__sa__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,1,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.010348699986934662,optimum,36.0,0.0,
tiny_single__sa_t10.0_c0.9__sa__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,2,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.010354099969845265,optimum,36.0,0.0,
tiny_parallel__main__lpt__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,0,makespan,150,10.0,0.98,BASELINE,38.0,1,0.00013529998250305653,optimum,38.0,0.0,
tiny_parallel__main__lpt__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,1,makespan,150,10.0,0.98,BASELINE,38.0,1,0.00013010000111535192,optimum,38.0,0.0,
tiny_parallel__main__lpt__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,2,makespan,150,10.0,0.98,BASELINE,38.0,1,0.00014059996465221047,optimum,38.0,0.0,
tiny_parallel__main__random__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010675500030629337,optimum,38.0,0.0,
tiny_parallel__main__random__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010744899976998568,optimum,38.0,0.0,
tiny_parallel__main__random__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010673200013116002,optimum,38.0,0.0,
tiny_parallel__main__first__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,0,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013685000012628734,optimum,38.0,0.0,
tiny_parallel__main__first__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,1,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013652999768964946,optimum,38.0,0.0,
tiny_parallel__main__first__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,2,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013617000076919794,optimum,38.0,0.0,
tiny_parallel__main__best__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,0,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013605999993160367,optimum,38.0,0.0,
tiny_parallel__main__best__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,1,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.001365699979942292,optimum,38.0,0.0,
tiny_parallel__main__best__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,2,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013707999605685472,optimum,38.0,0.0,
tiny_parallel__main__multistart__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.011396899993997067,optimum,38.0,0.0,
tiny_parallel__main__multistart__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.01143799995770678,optimum,38.0,0.0,
tiny_parallel__main__multistart__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,multistart,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.011443099996540695,optimum,38.0,0.0,
tiny_parallel__main__sa__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,sa,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010694500000681728,optimum,38.0,0.0,
