run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
tiny_single__sa_t10.0_c0.9__sa__0,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,0,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.010496300004888326,optimum,36.0,0.0,
tiny_single__sa_t10.0_c0.9__sa__1,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,1,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.010475900024175644,optimum,36.0,0.0,
tiny_single__sa_t10.0_c0.9__sa__2,tiny_single,e55495a649146422c71d4bbceadd6dcfc4c027a6c3605a643ef53ca6a677986a,sa_t10.0_c0.9,sa,2,total_tardiness,150,10.0,0.9,BUDGET,36.0,150,0.010455299983732402,optimum,36.0,0.0,
tiny_parallel__main__lpt__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,0,makespan,150,10.0,0.98,BASELINE,38.0,1,0.0001422999775968492,optimum,38.0,0.0,
tiny_parallel__main__lpt__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,1,makespan,150,10.0,0.98,BASELINE,38.0,1,0.0001425000373274088,optimum,38.0,0.0,
tiny_parallel__main__lpt__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,lpt,2,makespan,150,10.0,0.98,BASELINE,38.0,1,0.00014329998521134257,optimum,38.0,0.0,
tiny_parallel__main__random__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,0,makespan,150,10.0,0.98,BUDGET,38.0,150,0.01140229997690767,optimum,38.0,0.0,
tiny_parallel__main__random__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,1,makespan,150,10.0,0.98,BUDGET,38.0,150,0.01102610002271831,optimum,38.0,0.0,
tiny_parallel__main__random__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,random,2,makespan,150,10.0,0.98,BUDGET,38.0,150,0.010950999974738806,optimum,38.0,0.0,
tiny_parallel__main__first__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,0,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013936000177636743,optimum,38.0,0.0,
tiny_parallel__main__first__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,1,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0019886999507434666,optimum,38.0,0.0,
tiny_parallel__main__first__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,first,2,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013618000084534287,optimum,38.0,0.0,
tiny_parallel__main__best__0,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,0,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013615000061690807,optimum,38.0,0.0,
tiny_parallel__main__best__1,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,1,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013679999974556267,optimum,38.0,0.0,
tiny_parallel__main__best__2,tiny_parallel,01af25b0b32a85afe63efe71d03e93267f3ab588f21aa3fea42a2731a1404453,main,best,2,makespan,150,10.0,0.98,LOCAL_OPTIMUM,38.0,17,0.0013651999761350453,optimum,38.0,0.0,
